대번호,소번호,문장,훼손/파손,분실,배송지연,오배송,"기타(임의반품, 불친절, 집하거부 등)",관련없음
5,3,o 피신청인 측은 배상 처리기간이 최대 3~7일이 소요 된다고 하였으나 2014. 1. 7. 현재까지도 처리를 해주지 않고 연락도 없는 상태임.,,,,,,y
5,4,"o 신청인은 피신청인에게 택배의뢰한 귤 박스의 분실에 따른 조속한 손해배상 30,000원(귤가격;25,000원, 택배비:5,000원)을 요구함.",,y,,,,
5,5,*대리인: 성춘식님 따님(임설현님)과 통화함.,,,,,,y
6,1,신청인은 마트에서 쿠쿠 전기압력밥솥을 구입하여 12. 18. 동부택배에 배송을 의뢰하였으나,,,,,,y
6,2,12. 27.에야 배송이 되었다며 배송 지연 사유에 대한 동부택배의 해명 및 재발방지대책과 사과를 요구하고 있음.,,,y,,,
6,3, * 운송장번호 : 1486  0525  8303. 끝. ,,,,,,y
7,1,"신청인은 2013.9.1. 현대몰에서 바지를 구입하고 119,400원에 결제하였으나 반품 신청함.",,,,,,y
7,2,신청인은 피신청인(CJ대한통운)에게 반품 접수를 한 적이 없는데 피신청인의 택배원이 바지를 회수해감.,,,,,y,
7,3,피신청인에게 이의제기하였으나 현재까지 해결되지 않았으며 해당 바지는 반품 기간이 경과되어 반품 불가함.,,,,,,y
7,4,신청인은 임의 회수후 배송 불이행된 바지에 대해 구입가 보상을 요구함. ,,,,,y,
8,1,"신청인은 2013. 10. 2. 서울 종로 편의점(세븐일레븐)에서 피신청인1(한진택배)의 택배배송 의뢰(운송장번호 : 501001512874) 후 4,000원을 결제함.",,,,,,y
8,2,홈페이지에서 배송결과를 확인해보니 같은 해 10. 10. 20:51에 배송완료 되었다고 조회되나 실제 배송되지 아니함.,,y,,,,
8,3,이에 신청인은 분실된 택배물품에 대한 보상을 요구함.,,y,,,,
9,1," 신청인은 피신청인 택배를 이용하여 마를 받기로 하고, 2014.1.8. 집으로 배송온다고 하여 마를 나눠갈 사람들이 신청인의 집에서 모여 기다리고 있었음.",,,,,,y
9,2,그런데 다시 피신청인측에서 전화가 와서 물건이 사무소에 도착되지 않아서 그 날 배송이 안 된다고 함.,,,,,,y
9,3,이에 신청인이 사정을 설명하고 예정대로 당일 배송해 달라고 하니 아르바이트 상담원이 고성과 욕설을 함.,,,,,y,
9,4,"신청인이 피신청인 대표전화로 전화해 상황을 설명하고 이의를 제기하자, ",,,,,,y
9,5,마를 퀵서비스로 보내겠다고 하여 퀵서비스로 보내지 말고 당초대로 택배로 보내주도록 요청함.,,,,,,y
9,6,"그러나 피신청인이 마를 퀵서비스로 보냈고 퀵서비스 이용료 6,000원을 지급하게 함.",,,,,,y
9,7,"신청인은 욕설을 한 피신청인 상담원의 사과 및 추가 부담한 퀵서비스 이용료 6,000원의 환급을 요구함.",,,,,y,
10,1,2013. 12. 14. 제주도의 지인이 엘로우캡에 택배 의뢰하여 발송한 귤 2 박스가 도착하여 66수퍼에 맡겨놓겠다는 옐로우캡 가평지점 택배원의 연락을 받고 집으로 배송해줄 것을 요청하였으나,,,,,,y
10,2,"집까지는 배송 못한다며 일방적으로 전화를 끊어버리고 반송시켜 귤이 손상되고, 귤을 보냈던 지인과의 관계도 손상되었다며 손해배상을 요구하고 있음(운송장 번호: 52310324776).",,,,,y,
10,3,"신청인은 12. 16. 17시경 택배원이 귤박스를 66수퍼에 맡겨놓겠다며 일방적으로 전화를 끊어버린 후 17:30경 옐로우캡 고객센터에 전화하여 여직원 김미화에게 '금일 늦어 운송이 안되면 17일 오전 중 집으로 배송할 것을 요구했고,",,,,,y,
10,4,"17일에도 고객센터 박수경씨 등과 수차례 통화하여 운송을 요구했으나 17일 17:30경 귤이 제주도로 반송 중에 있다는 황당한 말을 들었으며,",,,,,y,
10,5,심지어 신청인이 반송하라고 하여 반송했다는 터무니 없는 말까지 들었다고 함.,,,,,y,
10,6,신청인은 16일 17:30경 고객센터 김미화에게 전화하여 당일 안되면 다음날 17일 오전 중이라도 집으로 배송해줄 것을 요구했는데도,,,,,,y
10,7,17일 02:17에야 수도권터미널(이천터미널A)에 도착한 귤을 그대로 반송 처리하여 귤 자체는 물론 대인관계에 까지 피해를 초래하였다고 주장하고 있음. 끝.,,,,,,y
11,1,"신청인은 1990.10월경 롯데백화점 명동점에서 구입한 세이코 시계 SET를 구매하면서 대금 200,000원~300,000원 현급 결제함.",,,,,,y
11,2,2013.9.3. 시계고장으로 A/S 맡김.,,,,,,y
11,3,2013.9.6. A/S센터에서 피신청인에게 택배 배송 접수함.,,,,,,y
11,4,2013.9.9. 배송이 안되고 있어 택배 기사에게 어디에 물건을 두었는지 문의하니 신청인 회사 우편물 보관소에 놓았다고 하여 확인하니 해당 제품이 없어 당사 보안실 직원과 CCTV로 확인하니 우편물을 두지 않았음을 확인함.,,y,,,,
11,5,택배기사도 시인한 상태임.,,,,,,y
11,6,2013.9월 중순. 피신청인의 사고 담당에게 이관되어 보상 처리해 주기로 하였음.,,,,,,y
11,7,"계속 기다리라는 말만 하였고, 피신청인측에서 신청인에게 분실된 물품의 현재 시가가 얼마인지 문의하여 롯데백화점에 가서 비슷한 제품 사진을 찍어 보내주고 가격이 1,900,000원 정도 한다하여 알려줌.",,y,,,,
11,8,(분실된 제품은 현재 생산되지 않는 제품임),,y,,,,
11,9,2014.1.2. 피신청인에게 연락하여 언제 처리 해 줄껀지 문의하니 이제서야 소비자원 중재를 받으라함.,,,,,,y
11,10,신청인은 신청인이 지금까지 처리해주지도 않고 시간만 끌면서 지체하다가 이제서야 제3기관에 요청하라 했다고 괴심하다함.,,,,,,y
11,11,신청인은 분실된 세이코 예물시계 SET 보상요구.,,y,,,,
12,1,신청인은 2013.11.22. 유니크로에서 안전거래를 하여 신청인의 중고 키보드를 개인(박찬희)에게 8만원에 판매함. ,,,,,,y
12,2,유니크로에서 운영하는 피신청인에게 택배 운송을 의뢰하였으나 수령인이 물품 확인하니 키보드가 일부 파손됨. ,y,,,,,
12,3,신청인은 키보드에 대한 배상을 요구함.,,,,,,y
13,1,신청인은 2013.11.29. 개인적으로 판매한 68만원 상당의 천연밍크목도리를 피신청인에게 배송 의뢰하였고 물품 가액은 10만원으로 기재함.,,,,,,y
13,2,배송 의뢰 후 배송추적이 되지 않아 확인하니 배송차량 사고로 물품이 분실되었다고 함.,,y,,,,
13,3,이에 피신청인이 68만원 전액을 보상 약속하여 관련 입증자료를 제출하였는데 현재 물품가액으로 기재한 10만원만 보상하겠다고 주장함. ,,,,,,y
13,4,신청인은 조속히 전액 보상하여 줄 것을 요구함. ,,,,,,y
14,1,"신청인은 2013. 12. 23. 거주지 인근 신청 외 GS25편의점 한밭대 점을 통해 패딩점퍼 및 발사믹 식초, 올리브유 등 생활잡화를 파손되지 않도록 에어켑 포장후 박스에 넣어 부산에 있는 지인에게 발송 의뢰하였고, 당시 파손면책 및 약관에대한 아무런 안내도 받지 못하였음.",,,,,,y
14,2,이후 지인에게 물품이 배송 되었으나 포장 박스가 테이프로 둘러져 있고 파손으로 인해 내용물이 세어 젖어 있었던 상태로 패딩점퍼는 세탁 등 불가능하여 폐기하였다고 함.,y,,,,,
14,3,"배송완료되었다는 문자번호의 택배기사분은 해당 내용에 대항 항의하려 하나 일체 연락을 피하고 있으며, 피신청인에게 온라인으로 문의를 하자 편의점 택배는 사고처리가 불가능하다는 답변을 받음. ",,,,,,y
14,4,신청인은 해당내용에 대한 사고처리 및 적합한 배상을 원함.,,,,,,y
14,5,(송장번호 8230258352),,,,,,y
14,6,"발사믹식초와 의류등 일반품목 (에어켑포장)하여발송하였으나 택배받고보니 완전히 깨져서 박스젖어서 터져서 비닐로감고 테이프로붙인상태.의류다젖고 엉망,,",y,,,,,
14,7,택배원이 경비실에맡기고간상태 전화도받지않고 일절 상태에대하여 말이없었음,,,,,,y
14,8,대한통운본사에서도 편의점접수분은 보상제외라는말만할뿐.,,,,,,y
15,1,o 신청인은 2013. 12. 2 피신청인 택배서비스를 이용하여 아래와 같은 계약사항으로 유자차 20kg 배송을 요청함.,,,,,,y
15,2,계약일 : 2013. 12. 2 ,,,,,,y
15,3,배송일 : 2013. 12. 4,,,,,,y
15,4,송장번호 : 22501442725,,,,,,y
15,5,발송지 : 전라남도 완도군 고금면 청룡리,,,,,,y
15,6,수신지 : 경기도 용인시 수지구 성복동 경남아너스빌 205동 1002호,,,,,,y
15,7,o  피신청인은 배송중 제품이 훼손된 것을 서면으로 인정하였으나 배상을 지연하고 있는바 책임있는 조속한 배상을 요구함.,y,,,,,
16,1,"신청인은 2013. 11.말경 소속회사가 제주도에 주문하여 직원들에게 귤 상자씩을 동부택배를 통해 배송 의뢰,",,,,,,y
16,2,12월 초 동부택배 안산영업소 직원이 귤이 도착했다는 연락을 해와 배송원의 편의를 봐줄 생각으로 비밀번호를 알려주어 집의 출입문을 열고 들여놓을 수 있도록 하기 위해 소속회사와 이름을 물었는데 오해를 했는지 화를 내며 배송품을 가져간 후 현재까지 배송을 하지 않고 있다며 손해배상을 요구하고 있음.,,,,,y,
16,3,*물품을 보지 못하여 운송장번호 알지 못한다고 함.,,,,,,y
16,4,"귤 가격은 1상자 20,000원이라고 함.",,,,,,y
17,1,신청인은 2013.12.21. 피신청인에게 데스크탑 컴퓨터 배송을 의뢰하고 12.23. 수령했으나 박스 훼손이 심하고 컴퓨터가 파손된 사실을 확인하고 12.26.,y,,,,,
17,2,이의제기함.,,,,,,y
17,3,"배송 의뢰 시 박스에 ""컴퓨터 취급주의""라고 기재하였고 피신청인은 컴퓨터이기 때문에 배송비 1,000원을 추가 지급한 사실이 있는바,",,,,,,y
17,4,배송중 파손된 데스크탑 컴퓨터에 대한 손해배상을 요구함.,y,,,,,
18,1,신청인은 2013.11.29. 피신청인에게 인터넷쇼핑몰(패션밀)에서 구입한 점퍼의 반품을 의뢰함,,,,,,y
18,2,(운송장번호:681499861952),,,,,,y
18,3,피신청인이 물품을 2013.12.3.분실하였다며 연락해 점퍼 대금과 계좌를 문자로 보내주면 배상하겠다더니 현재까지 입금 처리가 지연되고 있음.,,y,,,,
18,4,"조속히 점퍼 대금(51,120원)을 환급하고 지연에 따른 이자까지 배상할 것 요구함. ",,,,,,y
19,1,"신청인은 2013.12.19. 중고거래로 판매한 젖병 소독기를 피신청인{(주)한진}에 배송 의뢰하고 배송료 6,000원 결제함.",,,,,,y
19,2,익일 수하인이 제품이 파손된 상태로 배송되었다고 하여 환급해주고 피신청인에 신고 접수하였는데 아직까지 처리하지 아니함. ,y,,,,,
19,3,신청인은 조속한 보상 처리를 요구함. ,,,,,,y
19,4,* 운송장번호 : 301253389371,,,,,,y
19,5,"* 2년 전 구입, 판매가 : 45,000원",,,,,,y
20,1,신청인은 2013.12.13. 피신청인((주)현대택배)의 신사대리점에게 유선상으로 신청인이 구입한 차량관련 물품(휠X4EA)을 판매자가 직접 입고하였음을 확인함.,,,,,,y
20,2,"피신청인은 제품이 같은 달 14. 도착하며, 송장번호(101238709946)를 알려줌.",,,,,,y
20,3,그러나 같은 달 17.까지 택배조회가 되지 않고 물품이 입고되었는지조차 알 수 없으며 대리점은 연락이 되지 않는 상황임.,,y,,,,
20,4,신청인은 정상적으로 물품 비용 140만원을 지불하였으나 아직까지 제품 인도를 받지 못하였으므로 피해보상을 요구함.,,,,,,y
22,1,"신청인은 2014.1.13. 피신청인에 물품 배송을 의뢰하고 4,000원을 결제함. ",,,,,,y
22,2,1.25. 배송이 지연되어 항의하자 피신청인은 당일 6시까지 배송 약속하였으나 불이행하였고 1.27.에야 배송이 완료됨.  ,,,y,,,
22,3,신청인은 배송 지연에 따른 배상 및 업체 사과를 요구함. ,,,y,,,
23,1,신청인은 중고나라에 판매한 기타(모델명:KCE250)를 피신청인의 택배사를 이용하여 발송함.,,,,,,y
23,2,그러나 1.9. 수령인(송명환)에 파손된 상태로 배송되어 보상(30만원)을 요청하자 확인해준다고했으나 처리를 지연함.,y,,,,,
23,3,이는 부당하므로 조속한 보상요청함.,,,,,,y
23,4,* 운송장 번호 : 52320672294,,,,,,y
24,1,"신청인은 2013.11.28,약초(함초/1병당 \97,000 상당 10병)를 형님(한영덕)께 CJ대한통운택배를 통해서 보냈음",,,,,,y
24,2,보통 택배로 보내면 4~5일이내에 도착하는 것으로 알고 있는데 1개월이 경과하도록  연락이 없었음(2013.12.27),,y,,,,
24,3,처음 택배를 이용하는 상황인라서 물품가액을 기재하지 않았고 할증운임을 지급하지 않았음,,,,,,y
24,4,"2014.01.28,  CJ대한통운택배에서는 할증금액을 지급하지 않아서 50만원만 배상하겠다고 함",,,,,,y
24,5,본사 고객센터에서는 회사 규정대로 할 수 밖에 없다고 하면서 협의하면 10만원까지 더 줄 수 있다고 함,,,,,,y
24,6,"신청인은 운송의뢰한 화물 대금(\970,000원) 보상을 요구함.",,,,,,y
24,7,* 운송장사본:101253600563,,,,,,y
25,1,신청인의 언니가 2014.1.24. 직접 농사하여 수확한 방울토마토 5kg 12박스를 피신청인의 택배에 의뢰해 신청인에게 배송하였고,,,,,,y
25,2,신청인이 1.25.인도 받아 확인해 보았으나 12박스 모두 방울 토마토가 깨져 박스가 젖어 있는 상태로 도저히 먹기가 어려운 상태 였음.,y,,,,,
25,3,이에 11박스는 버리고 1박스 중 일부를 보관하고 있음.,,,,,,y
25,4,"피신청인의 운송 중 책임을 물어 손해배상을 청구하자 피신청인은 거부한 상태로 신청인은 피신청인의 운송중 발생된 피해임을 주장, 적정 손해 배상(34만원) 청구함.",,,,,,y
25,5,* 운송장번호: 52333165603,,,,,,y
25,6,* 운송장에 물품 가액 미기재.,,,,,,y
26,1,"신청인은 2013. 11. 29. 미국 아마존닷컴(www.amazon.com)으로부터 재봉틀을 구매하여 피신청인(포스트베이)과 해외배송대행 계약을 체결하고 미화 60불(64,497원)을 지급함.",,,,,,y
26,2,2014. 12. 17. 제품을 수령하여 2014. 12. 21.경 제품상태를 확인해보니 제품이 파손되고 동작되지 않음을 확인함.,y,,,,,
26,3,2014. 12. 22. 문제제기하니 피신청인이 우체국 택배사 배상 가능여부 확인 후 되지 않으면 직권으로 배상해주겠다고 안내함.,,,,,,y
26,4,피신청인은 해당 제품이 리퍼 제품이라 우체국 택배사에서 배상하지 못하겠다는 이유로 배상을 거절함. ,,,,,,y
26,5,이에 신청인은 관련 법령 및 소비자분쟁해결기준 등에 의한 배상을 받고자 피해구제 신청함.,,,,,,y
27,1,신청인은 2014.1.22. 피신청인을 통해 지인으로 부터 배(나주배 7.5kg. 10개들이)를 배송받음.,,,,,,y
27,2,(송장번호:148652096213),,,,,,y
27,3,도착 물품 개봉하지 않은 채 서늘하고 통풍이 잘 되는 발코니에 보관함.,,,,,,y
27,4,2014.1.28. 저녁에  동 제품을 사용하려고 상자를 열어보니 냄새가 나서 배를 한개 꺼내들어보니 하단 부위가 썩어 문드러져 있어 나머지 확인 결과 모두 배 위쪽은 멀쩡하고 하단 부위만 1/3~1/2 정도 썩어 있음.,y,,,,,
27,5,당일 저녁 피신청인 고객센타로 전화했으나 근무가 끝나서인지 전화 안받음.,,,,,,y
27,6,2014.1.29. 오전에 다시 피신청인 고객센타로 전화하여 택배 사고 내용 전달하면서 택배 물품의 유통과정에서 문제가 있을 수 있으니 조치해달라 요구하니 확인후 연락준다함.,,,,,,y
27,7,당일 회신결과 집하영업소인 서대구영업소(최재원 소장: 01099382493)에서 설 연휴 이후 연락할 예정이라하여 신청인이 직접 서대구영업소로 연락을 취하겠다고 통보후 서대구 영업소장에게 사고 내용 설명함.,,,,,,y
27,8,서대구 영업소장 답변이 물품 수령후 즉시 개봉하여 내용물의 상태를 확인하지 않고 일주일 정도 보관했다가 이의를 제기하는것은 보관상의 문제일수 있으니 계속 문제를 삼고 싶으면 한국소비자원에 문제를 제기하라함.,,,,,,y
27,9,"2014.1.20. 택배 경유를 확인해보니 물품 도착 전 하루, 이틀 서울 용산에서 배송 지연된 사실이 있음.",,,,,,y
27,10,"신청인은 일주일 정도 보관 했다고 모든 과일이 1/3~1/2 정도 썩어 있는것이 납득이 안되고 택배 물품 주문이후 배송까지의 기간, 배송기간 동안의 보관상태 등에 문제가 있다고 생각함.",y,,,,,
27,11,신청인은 사고 경위를 정확하게 파악후 택배회사 과실이 있는 부분에 대해 배상을 요구함.,,,,,,y
28,1,신청인은 2013. 10. 7. 피신청인의 택배서비스를 이용하여 충남 공주의 오세윤 명의로 택배를 발송하였으나 분실되어,,y,,,,
28,2,2014. 1. 24. 피신청인의 택배기사님으로부터 변상을 안내받았으나 이행되지 않고 있어 조속한 배상을 요구함.,,,,,,y
28,3,"분실 품목 : 렌탈크리닉 은구프로폴리스(로얄제리)치약 5개, 75,000원, 스킨 화장품 95,000원, 택배비용 4,000원 총 134,000원",,y,,,,
28,4,운송장 번호 : 0679939400,,,,,,y
28,5,택배기사님 연락처 : 01066871785,,,,,,y
29,1,o 신청인은 2013.9.10. 지인에게 멜론 3박스를 6만원에 구입하고 피신청인{로젠(주)}을 통해 배송 받기로 하였으나  이후 배송된 2박스는 문제가 없었으나 ,,,,,,y
29,2,이틀 후에 배송된 1개박스의 내용물(멜론)이 3개중 2개가 파손된 상태임을 확인하고 피신청인 측에 신고 접수한바 피신청인 고객센터에서 전화를 걸어 와 내용물을 잘 보관하고 문제의 박스까지 보관해야 보상 가능하다고 통보함.,y,,,,,
29,3,이후 처리가 지연됨에 따라 어쩔 수 없이 사진 촬영을 하고 폐기하였는데 아직까지도 연락 없이 처리 지연하고 있는 바 이는 부당하므로 택배 배송 중 훼손된 내용물(멜론)에 대한 손해배상을 요구함. ,,,,,,y
29,4,* 운송장번호 12422352504,,,,,,y
30,1,신청인은 2014.1.11. 11번가에서 프린트 잉크(삼성 M160)를 주문했으나,,,,,,y
30,2,피신청인 배송기사는 연락도 없이 배달하지 않고 임의 반송하여 당월 17일 판매처로 입고 되었고 ,,,,,,y
30,3,"신청인의 이의제기에 로젠택배를 통해 18일에 재배송된바, ",,,,,,y
30,4,임의 반송에 의한 배송지연 책임을 물어 보상을 요구함. ,,,y,,,
30,5,* 조정사건번호 2013일나 002714의 동일 신청인 건으로 유사건임,,,,,,y
31,1,신청인은 2014.1.18. 11번가에서 차량용 노트북 어댑터 충전기 80W를 주문하였으나,,,,,,y
31,2,피신청인 배송기사는 연락도 없이 배달하지 않고,,,,,,y
31,3,임의 반송하여 당월 27일 판매처로 입고 되었고,,,,,,y
31,4,"신청인의 이의제기에 로젠택배를 통해 28일에 재배송된바, 임의 반송에 의한 배송지연 책임을 물어 보상을 요구함. ",,,y,,,
31,5,* 조정사건번호 2013일나 002714의 동일 신청인 건으로 유사건임,,,,,,y
32,1,"o 신청인은 피신청인을 이용해 수차례 택배를 보냈으나 번번이 반송되어 피신청인에 항의하였으나,",,,,,,y
32,2,"피신청인 측에서는 '배송목적지의 동ㆍ호수 등이 적혀있지 않아 배송할 수 없어 반송하였다'고 답변하는 바, ",,,,y,,
32,3,신청인이 '발송인 연락처를 적었으면 연락을 해서 배송을 완료하여야 하는 것 아니냐'고 해도 이에 대한 책임 회피하여 분쟁이 발생함.,,,,,,y
32,4,* 조정사건번호 2013일나 002714의 동일 신청인 건으로 유사건임,,,,,,y
33,1,ㅇ 신청인은 2014.1월 중순 경 미국 아마존닷컴에서 총 3건의 물건을 구매 후 아마존의 국제 배송 업체인 아이파슬을 통해 상품을 배달받기로 함(아이파슬의 국내 배송 대행 계약은 CJ택배임),,,,,,y
33,2,*  피신청인: CJ 택배(계약주체),,,,,,y
33,3,ㅇ 2014.1.25 피신청인으로부터 주소 확인차 신청인에게 연락이 왔으나 피신청인이 향하고 있는 주소가 신청인이 작성한 주소와 일치하지 않음,,,,y,,
33,4,ㅇ 피신청인은 신청인에게 주소를 보정하고 택배를 다시 받으라고 요청하며 택배비는 신청인에게 부과된다고 통보,,,,,,y
33,5,ㅇ 신청인은 이틀동안(2014.1.28~29) 구입한 다른 물품 또한 주소가 잘못기입되었나 확인하기위해  피신청인(CJ 대한통운 인천통관장)에게 100통 넘게 연락을 시도하였으나 한번도 연결 되지 않음(통화내역참조),,,,,,y
33,6,"ㅇ 결국 신청인은 주소를 보정하고 추가로 피신청인에게 택배비 12,000원을 지불함",,,,,,y
33,7,"
ㅇ 피신청인의 택배기사에게 위뢰하여 위치추적프로그램을 통해 인천 통관장의 집하 처리 과정에서 집하 처리사들이 영문주소를 한글로 잘못 기재하여 오송된 것으로 확인함",,,,y,,
33,8,"(피해 택배 송장 번호 319725022264, 319725380722, 319725376850)",,,,,,y
33,9,ㅇ 피신청인의 주소기입잘못으로 인해 배송이 잘되지 않음을 확인한 후 CJ 인천통관장에게 항의하자 본인들의 집하처리 실수가 맞으나 중복으로 물은 택배비에 대해서는 배상해 줄 수 있는 근거가 없다하며 배상요구를 거절함,,,,,,y
33,10,"ㅇ 신청인은 피신청인의 업무 실수로 인해 지불한 택배비 추가비용(12,000원)에 대한 환급을 요청함",,,,,,y
34,1,"신청인은 2013.9.1. 타사몰에서 119,400원에 구입한 바지를 타사 택배에 반품신청하였으나 피신청인1(CJ대한통운)의 택배기사(01067753717)가 잘못 회수하여 피신청인2(롯데아이몰)에게 배송함.",,,,y,,
34,2,피신청인1에게 이의제기하니 피신청인1은 피신청인2에게 물품을 요구하였으며 기다려달라고 답변함. ,,,,,,y
34,3,그러나 상당한 시일이 지나도록 연락이 없었고 제품은 반품 기간이 경과되어 반품 불가하게 됨. ,,,,,,y
34,4,신청인은 임의 회수후 멸실된 바지 구입가 보상을 요구함. ,,,,,,y
35,1,"신청인은 2014. 1. 17. 피신청인2 쇼핑몰에서 루미큐브를 17,000원에 구매하였고, 피신청인2는 피신청인1(CJ대한통운)을 통해 제품을 발송함.",,,,,,
35,2,"그러나 배송이 지연되어 피신청인1과 수차례 통화하며 이의를 제기하여 2014. 2. 4. 배송지연에 따른 배송비 5000원을 배상 받기로 하였으나, 신청인 명의의 통장이 없다는 이유로 전화를 끊고 현재까지 약속을 이행하지 않고 있음.",,,,,,
35,3,신청인은 배송지연 배상금 지급 약속을 조속히 이행할 것을 요구함.,,,,,,
35,4,* 운송장번호: CJ대한통운 681981064282,,,,,,
36,1,"신청인은 쁘띠주얼리에 기존에 가지고 있던 싯가 7,80만원에 상당하는 귀금속(샤넬귀걸이 한짝(A/S건), 볼 귀걸이 한쌍, 나비귀걸이 한쌍, 블랙다이아목걸이, 큰링귀걸이 한짝, 펜던트)에 대한 A/S 및 매입의뢰를 하려고 연락하였더니 연계된 한진택배를 보내서 회수하겠다고 함.",,,,,,y
36,2,"신청인의 배우자(신화오)가 근무하는 새마을금고에 방문하여 제품을 회수해가 기다렸으나, 판매자가 제품을 받지 못했다하여 알아보니 피신청인(현대택배)이 제품을 회수해갔으며 여수쿤인터내셔날로 배송했다고 답변함.",,,,,,y
36,3,그러나 인수자인 여수쿤인터내셔날로 제품을 받은게 없으며 택배사와 해결하라고 답변함.,,,,y,,
36,4,신청인은 피신청인에 반품 신청을 한 적이 없으며 잘못된 배송지로 배송하여 제품이 멸실되었으므로 보상을 요구함.,,,,,,y
37,1,"신청인은 2014.1.21. 제주도 지인에게 귤을 주문하고, 25,000원을 입금함.",,,,,,y
37,2,그런데 택배배송이 지연되다가 7~8일만에 받았는데 귤이 상해서 먹지 못 하게 되어 보상을 요구하자 해준다고 하면서 미룸.,,,y,,,
37,3,신청인은 조속한 보상을 요구함.,,,,,,y
37,4,* 송장번호 : 148654313006,,,,,,y
38,1,"신청인은 2013.10.23. (주)케이지옐로우캡에 사과 1상자, 배 1상자를 수하인(박석진)에 배송 요청하고 배송료 5,000원을 결제함.",,,,,,y
38,2,10.25. 수하인에 도착한 사과 1박스가 피신청인 과실로 심하게 훼손되어 보상을 요구하였으나 이를 거절하여 부당함.,y,,,,,
38,3,"신청인은 피신청인 측 과실로 훼손된 사과 1박스 구입가 40,000원과 배송료 5,000원을 보상하여 줄 것을 요구함.",y,,,,,
39,1,신청인은 2월 10일경 옐로우캡택배 구미지점에 홍삼제조기를 택배로 발송했으나 상단 도자기 부분이 금이 간상태로 배송됨.,y,,,,,
